year,region,crop,yield_kg_ha,area_ha,production_tonnes,price_usd_kg
2012,Ashanti,Cassava,20753.3,49130,1019614,0.056
2013,Ashanti,Cassava,19988.5,45284,905173,0.041
2014,Ashanti,Cassava,19296.5,47701,920473,0.064
2015,Ashanti,Cassava,16280.6,47041,765856,0.05
2016,Ashanti,Cassava,19792.0,49936,988337,0.05
2017,Ashanti,Cassava,17537.8,49199,862850,0.042
2018,Ashanti,Cassava,21309.1,47286,1007628,0.063
2019,Ashanti,Cassava,21841.0,48693,1063526,0.053
2020,Ashanti,Cassava,19926.7,50404,1004398,0.045
2021,Ashanti,Cassava,21636.5,47739,1032911,0.06
2022,Ashanti,Cassava,20917.3,48172,1007630,0.061
2000,Ashanti,Maize,1956.8,88897,173956,0.281
2001,Ashanti,Maize,1600.2,78156,125063,0.243
2002,Ashanti,Maize,2486.1,72137,179343,0.219
2003,Ashanti,Maize,1264.5,78909,99784,0.296
2004,Ashanti,Maize,2358.9,88304,208300,0.207
2005,Ashanti,Maize,2039.2,86972,177350,0.244
2006,Ashanti,Maize,1937.1,84772,164216,0.27
2007,Ashanti,Maize,1771.6,91730,162510,0.271
2008,Ashanti,Maize,2013.2,86140,173419,0.231
2009,Ashanti,Maize,2327.3,84106,195743,0.231
2010,Ashanti,Maize,1865.5,88987,166009,0.259
2011,Ashanti,Maize,1788.4,89322,159742,0.267
2012,Ashanti,Maize,1758.7,86790,152634,0.254
2013,Ashanti,Maize,1887.1,91076,171875,0.297
2014,Ashanti,Maize,1906.3,91957,175301,0.251
2015,Ashanti,Maize,2074.9,90886,188578,0.242
2016,Ashanti,Maize,1761.2,88815,156419,0.268
2017,Ashanti,Maize,1570.5,87442,137327,0.286
2018,Ashanti,Maize,1748.9,91362,159785,0.269
2019,Ashanti,Maize,2039.9,89697,182976,0.187
2020,Ashanti,Maize,2672.4,87430,233652,0.24
2021,Ashanti,Maize,2499.2,94996,237418,0.237
2022,Ashanti,Maize,2252.3,89411,201385,0.257
2000,Brong-Ahafo,Maize,947.5,16516,15649,0.228
2001,Brong-Ahafo,Maize,1649.3,16163,26658,0.297
2002,Brong-Ahafo,Maize,1641.6,16974,27865,0.249
2003,Brong-Ahafo,Maize,1818.1,18654,33915,0.273
2004,Brong-Ahafo,Maize,1810.6,18133,32832,0.271
2005,Brong-Ahafo,Maize,1805.3,17988,32474,0.28
2006,Brong-Ahafo,Maize,1473.8,17485,25770,0.251
2007,Brong-Ahafo,Maize,2055.3,17811,36608,0.306
2008,Brong-Ahafo,Maize,2196.6,18330,40264,0.316
2009,Brong-Ahafo,Maize,1754.5,18178,31895,0.209
2010,Brong-Ahafo,Maize,1779.4,18482,32887,0.26
2011,Brong-Ahafo,Maize,2651.9,18864,50026,0.279
2012,Brong-Ahafo,Maize,1673.3,19834,33187,0.285
2013,Brong-Ahafo,Maize,1475.1,18846,27800,0.217
2014,Brong-Ahafo,Maize,2067.2,19593,40503,0.202
2015,Brong-Ahafo,Maize,1984.2,18996,37692,0.259
2016,Brong-Ahafo,Maize,1215.7,18934,23018,0.236
2017,Brong-Ahafo,Maize,2353.4,18031,42434,0.266
2018,Brong-Ahafo,Maize,1620.9,19971,32371,0.26
2019,Brong-Ahafo,Maize,1940.5,19244,37344,0.297
2020,Brong-Ahafo,Maize,2712.2,20480,55548,0.243
2021,Brong-Ahafo,Maize,2608.8,20381,53171,0.276
2022,Brong-Ahafo,Maize,2646.3,18195,48151,0.215
2000,Brong-Ahafo,Yam,9999.7,115832,1158290,0.121
2001,Brong-Ahafo,Yam,15541.2,111257,1729075,0.12
2002,Brong-Ahafo,Yam,15534.0,112037,1740381,0.12
2003,Brong-Ahafo,Yam,15983.6,104605,1671974,0.118
2004,Brong-Ahafo,Yam,14425.1,113053,1630807,0.106
2005,Brong-Ahafo,Yam,16021.4,110726,1774001,0.15
2006,Brong-Ahafo,Yam,14277.0,110226,1573703,0.109
2007,Brong-Ahafo,Yam,12432.0,112252,1395532,0.121
2008,Brong-Ahafo,Yam,10245.5,110578,1132928,0.123
2009,Brong-Ahafo,Yam,15280.0,111471,1703280,0.109
2010,Brong-Ahafo,Yam,16520.5,113526,1875524,0.087
2011,Brong-Ahafo,Yam,13880.9,105694,1467129,0.132
2012,Brong-Ahafo,Yam,12250.7,129278,1583744,0.136
2013,Brong-Ahafo,Yam,18825.9,105630,1988590,0.108
2014,Brong-Ahafo,Yam,14297.8,114088,1631217,0.104
2015,Brong-Ahafo,Yam,16796.9,121440,2039822,0.135
2016,Brong-Ahafo,Yam,17231.2,118345,2039229,0.108
2017,Brong-Ahafo,Yam,15243.6,125467,1912585,0.114
2018,Brong-Ahafo,Yam,15398.5,123147,1896288,0.147
2019,Brong-Ahafo,Yam,16825.6,120202,2022482,0.115
2020,Brong-Ahafo,Yam,16772.3,117348,1968209,0.113
2021,Brong-Ahafo,Yam,15837.5,118355,1874460,0.084
2022,Brong-Ahafo,Yam,14997.6,120240,1803324,0.107
2000,Brong-Ahafo,Cassava,14300.1,120103,1717487,0.053
2001,Brong-Ahafo,Cassava,12977.8,126692,1644180,0.06
2002,Brong-Ahafo,Cassava,16138.5,120407,1943191,0.045
2003,Brong-Ahafo,Cassava,13452.8,116190,1563090,0.048
2004,Brong-Ahafo,Cassava,18793.5,111164,2089165,0.05
2005,Brong-Ahafo,Cassava,15109.8,118802,1795083,0.048
2006,Brong-Ahafo,Cassava,20824.9,117387,2444592,0.055
2007,Brong-Ahafo,Cassava,14994.7,117287,1758693,0.065
2008,Brong-Ahafo,Cassava,19889.7,120297,2392668,0.052
2009,Brong-Ahafo,Cassava,15090.0,124102,1872705,0.059
2010,Brong-Ahafo,Cassava,18354.8,120489,2211553,0.047
2011,Brong-Ahafo,Cassava,18662.9,125527,2342692,0.056
2012,Brong-Ahafo,Cassava,21121.2,122055,2577958,0.057
2013,Brong-Ahafo,Cassava,18688.8,121004,2261424,0.037
2014,Brong-Ahafo,Cassava,20077.3,132558,2661429,0.052
2015,Brong-Ahafo,Cassava,19617.9,129485,2540238,0.051
2016,Brong-Ahafo,Cassava,16484.1,131240,2163389,0.052
2017,Brong-Ahafo,Cassava,19034.9,130994,2493459,0.05
2018,Brong-Ahafo,Cassava,18450.6,123109,2271454,0.055
2019,Brong-Ahafo,Cassava,19566.3,134696,2635507,0.052
2020,Brong-Ahafo,Cassava,21483.8,125860,2703959,0.048
2021,Brong-Ahafo,Cassava,17833.5,126828,2261791,0.047
2022,Brong-Ahafo,Cassava,22474.6,135726,3050394,0.052
2000,Brong-Ahafo,Rice,3830.9,33625,128816,0.531
2001,Brong-Ahafo,Rice,3019.1,40210,121401,0.439
2002,Brong-Ahafo,Rice,2747.0,36721,100875,0.489
2003,Brong-Ahafo,Rice,3008.2,37384,112460,0.464
2004,Brong-Ahafo,Rice,2435.5,39232,95552,0.422
2005,Brong-Ahafo,Rice,2660.3,38237,101724,0.587
2006,Brong-Ahafo,Rice,3377.4,37058,125163,0.427
2007,Brong-Ahafo,Rice,3370.6,34107,114965,0.438
2008,Brong-Ahafo,Rice,3512.5,37163,130534,0.54
2009,Brong-Ahafo,Rice,2737.3,37614,102962,0.45
2010,Brong-Ahafo,Rice,2626.5,37677,98958,0.488
2011,Brong-Ahafo,Rice,2745.5,38940,106910,0.407
2012,Brong-Ahafo,Rice,2264.2,42099,95324,0.453
2013,Brong-Ahafo,Rice,3079.1,39530,121721,0.444
2014,Brong-Ahafo,Rice,3537.6,38688,136864,0.421
2015,Brong-Ahafo,Rice,4044.5,35065,141823,0.338
2016,Brong-Ahafo,Rice,2819.2,38601,108824,0.43
2017,Brong-Ahafo,Rice,3146.9,40042,126011,0.495
2018,Brong-Ahafo,Rice,2905.8,40814,118600,0.519
2019,Brong-Ahafo,Rice,3340.3,38585,128888,0.455
2020,Brong-Ahafo,Rice,3617.2,38051,137641,0.489
2021,Brong-Ahafo,Rice,4125.0,38640,159394,0.463
2022,Brong-Ahafo,Rice,3807.8,38618,147048,0.483
2000,Central,Cassava,17225.9,38789,668175,0.056
2001,Central,Cassava,16550.2,39008,645607,0.045
2002,Central,Cassava,14281.5,42230,603116,0.042
2003,Central,Cassava,21626.6,38581,834376,0.047
2004,Central,Cassava,15781.6,42301,667579,0.05
2005,Central,Cassava,19934.0,41305,823376,0.058
2006,Central,Cassava,19426.5,39264,762768,0.042
2007,Central,Cassava,20534.0,40157,824589,0.051
2008,Central,Cassava,19458.4,40867,795224,0.052
2009,Central,Cassava,15133.4,41903,634148,0.053
2010,Central,Cassava,20157.8,44479,896605,0.06
2011,Central,Cassava,21946.1,42820,939735,0.055
2012,Central,Cassava,18403.6,43325,797338,0.053
2013,Central,Cassava,18589.7,41143,764850,0.053
2014,Central,Cassava,18156.9,41483,753204,0.044
2015,Central,Cassava,22536.6,47294,1065855,0.048
2016,Central,Cassava,17531.3,45242,793166,0.047
2017,Central,Cassava,20977.1,41543,871468,0.056
2018,Central,Cassava,20419.0,47399,967857,0.046
2019,Central,Cassava,25325.4,45527,1153011,0.053
2020,Central,Cassava,22424.3,42351,949696,0.046
2021,Central,Cassava,20000.1,42965,859304,0.049
2022,Central,Cassava,22524.7,46321,1043376,0.053
2000,Central,Maize,2108.4,85294,179831,0.2
2001,Central,Maize,2122.4,86420,183420,0.263
2002,Central,Maize,1658.4,86254,143043,0.27
2003,Central,Maize,1672.7,89851,150298,0.208
2004,Central,Maize,2092.9,88005,184187,0.236
2005,Central,Maize,1857.1,88135,163676,0.262
2006,Central,Maize,1288.2,91631,118035,0.205
2007,Central,Maize,1464.7,90531,132603,0.271
2008,Central,Maize,1961.4,87186,171005,0.292
2009,Central,Maize,2310.6,90457,209016,0.2
2010,Central,Maize,1439.9,88374,127254,0.242
2011,Central,Maize,1749.3,86643,151567,0.192
2012,Central,Maize,1669.8,94034,157019,0.244
2013,Central,Maize,2722.9,88823,241856,0.285
2014,Central,Maize,2640.7,89340,235923,0.234
2015,Central,Maize,2347.1,89819,210816,0.235
2016,Central,Maize,1959.7,97237,190558,0.233
2017,Central,Maize,2271.0,91517,207839,0.229
2018,Central,Maize,1981.1,98527,195197,0.304
2019,Central,Maize,2150.3,95658,205697,0.266
2020,Central,Maize,2594.9,93483,242574,0.226
2021,Central,Maize,2572.1,91263,234739,0.225
2022,Central,Maize,2321.2,93172,216274,0.257
2000,Central,Plantain,13858.3,101140,1401639,0.075
2001,Central,Plantain,11786.8,97075,1144207,0.084
2002,Central,Plantain,11012.0,108951,1199775,0.088
2003,Central,Plantain,11263.0,109053,1228278,0.095
2004,Central,Plantain,10385.7,106008,1100966,0.092
2005,Central,Plantain,9937.5,107647,1069748,0.084
2006,Central,Plantain,11324.3,106627,1207473,0.067
2007,Central,Plantain,12140.7,113131,1373505,0.082
2008,Central,Plantain,11824.6,113988,1347870,0.079
2009,Central,Plantain,11733.4,108710,1275546,0.084
2010,Central,Plantain,13242.4,104258,1380641,0.081
2011,Central,Plantain,10779.7,107034,1153794,0.081
2012,Central,Plantain,10613.3,111094,1179074,0.095
2013,Central,Plantain,11697.0,103021,1205042,0.076
2014,Central,Plantain,8442.7,101480,856766,0.084
2015,Central,Plantain,11320.6,115722,1310052,0.093
2016,Central,Plantain,13326.4,111192,1481790,0.098
2017,Central,Plantain,10983.7,115830,1272241,0.078
2018,Central,Plantain,10932.4,118603,1296619,0.079
2019,Central,Plantain,13346.7,114266,1525085,0.078
2020,Central,Plantain,13329.8,115519,1539851,0.086
2021,Central,Plantain,14960.6,119348,1785527,0.085
2022,Central,Plantain,12107.1,122146,1478835,0.08
2000,Eastern,Cocoa,313.3,15702,4918,2.581
2001,Eastern,Cocoa,401.1,15251,6117,2.742
2002,Eastern,Cocoa,374.8,14380,5390,3.055
2003,Eastern,Cocoa,439.9,15710,6911,2.792
2004,Eastern,Cocoa,401.2,15493,6216,2.411
2005,Eastern,Cocoa,463.2,16653,7714,2.506
2006,Eastern,Cocoa,445.4,15038,6698,2.706
2007,Eastern,Cocoa,505.2,16101,8135,2.634
2008,Eastern,Cocoa,429.5,16649,7150,3.111
2009,Eastern,Cocoa,582.6,16092,9375,2.932
2010,Eastern,Cocoa,486.2,16588,8064,2.62
2011,Eastern,Cocoa,481.4,16604,7993,2.733
2012,Eastern,Cocoa,547.5,17157,9394,2.866
2013,Eastern,Cocoa,416.9,15857,6611,3.008
2014,Eastern,Cocoa,551.3,17304,9539,2.947
2015,Eastern,Cocoa,417.5,16673,6960,2.631
2016,Eastern,Cocoa,513.8,16250,8349,2.239
2017,Eastern,Cocoa,527.9,17013,8980,2.174
2018,Eastern,Cocoa,443.2,16695,7399,3.152
2019,Eastern,Cocoa,497.7,17716,8818,2.251
2020,Eastern,Cocoa,466.0,17607,8206,3.264
2021,Eastern,Cocoa,525.9,16369,8608,2.909
2022,Eastern,Cocoa,498.4,17192,8569,2.675
2000,Eastern,Cassava,19552.7,53846,1052848,0.048
2001,Eastern,Cassava,12930.8,60032,776268,0.043
2002,Eastern,Cassava,16626.7,59255,985218,0.05
2003,Eastern,Cassava,18996.4,53892,1023757,0.052
2004,Eastern,Cassava,13701.4,58040,795235,0.059
2005,Eastern,Cassava,20293.3,61282,1243616,0.057
2006,Eastern,Cassava,19147.4,60605,1160449,0.056
2007,Eastern,Cassava,19331.4,59143,1143317,0.047
2008,Eastern,Cassava,20738.5,60309,1250727,0.054
2009,Eastern,Cassava,18936.1,59115,1119417,0.05
2010,Eastern,Cassava,21497.9,61570,1323625,0.056
2011,Eastern,Cassava,12939.7,59040,763968,0.052
2012,Eastern,Cassava,22435.2,58939,1322312,0.054
2013,Eastern,Cassava,15254.5,62276,949995,0.046
2014,Eastern,Cassava,19570.9,62428,1221787,0.055
2015,Eastern,Cassava,19499.9,62143,1211787,0.062
2016,Eastern,Cassava,20549.9,64936,1334438,0.057
2017,Eastern,Cassava,23489.5,60271,1415739,0.06
2018,Eastern,Cassava,21105.2,61336,1294525,0.05
2019,Eastern,Cassava,20564.4,64160,1319428,0.059
2020,Eastern,Cassava,20071.5,65893,1322581,0.057
2021,Eastern,Cassava,17854.0,65621,1171601,0.054
2022,Eastern,Cassava,21315.4,64531,1375507,0.049
2000,Eastern,Maize,1823.3,47182,86028,0.225
2001,Eastern,Maize,1340.8,44036,59044,0.211
2002,Eastern,Maize,1696.7,47710,80949,0.28
2003,Eastern,Maize,1127.4,43807,49390,0.252
2004,Eastern,Maize,2251.7,42775,96318,0.201
2005,Eastern,Maize,2642.3,46748,123526,0.27
2006,Eastern,Maize,2073.2,47030,97502,0.258
2007,Eastern,Maize,1924.0,46887,90209,0.249
2008,Eastern,Maize,1700.9,44373,75476,0.217
2009,Eastern,Maize,1313.0,47053,61783,0.295
2010,Eastern,Maize,2294.7,44828,102865,0.243
2011,Eastern,Maize,1768.4,47770,84475,0.305
2012,Eastern,Maize,2178.6,44188,96267,0.263
2013,Eastern,Maize,2321.5,47103,109351,0.233
2014,Eastern,Maize,2099.9,47675,100114,0.266
2015,Eastern,Maize,1952.1,48391,94467,0.265
2016,Eastern,Maize,1746.6,45695,79810,0.229
2017,Eastern,Maize,2357.7,47129,111114,0.305
2018,Eastern,Maize,1976.1,46863,92607,0.314
2019,Eastern,Maize,2364.3,47263,111746,0.239
2020,Eastern,Maize,2430.5,48866,118769,0.246
2021,Eastern,Maize,1743.2,49485,86265,0.294
2022,Eastern,Maize,1738.9,47806,83130,0.299
2000,Eastern,Plantain,10798.7,59603,643638,0.076
2001,Eastern,Plantain,10305.3,53774,554159,0.073
2002,Eastern,Plantain,10622.9,54794,582077,0.082
2003,Eastern,Plantain,7834.6,57833,453098,0.1
2004,Eastern,Plantain,12561.0,54369,682938,0.096
2005,Eastern,Plantain,11455.4,57573,659523,0.073
2006,Eastern,Plantain,10675.9,55576,593328,0.082
2007,Eastern,Plantain,9359.4,61461,575240,0.077
2008,Eastern,Plantain,12851.5,59560,765439,0.07
2009,Eastern,Plantain,9057.4,58639,531122,0.087
2010,Eastern,Plantain,14193.3,59636,846438,0.082
2011,Eastern,Plantain,11392.3,60163,685403,0.086
2012,Eastern,Plantain,10356.0,56336,583414,0.062
2013,Eastern,Plantain,12619.0,64420,812924,0.069
2014,Eastern,Plantain,11922.1,61752,736214,0.081
2015,Eastern,Plantain,12029.0,61427,738911,0.086
2016,Eastern,Plantain,12100.5,58743,710824,0.085
2017,Eastern,Plantain,11182.8,60827,680224,0.082
2018,Eastern,Plantain,11905.3,62825,747949,0.093
2019,Eastern,Plantain,13582.0,55620,755445,0.081
2020,Eastern,Plantain,12089.4,61135,739094,0.081
2021,Eastern,Plantain,12223.2,57799,706495,0.074
2022,Eastern,Plantain,11605.8,61791,717136,0.068
2000,Greater Accra,Cassava,18590.1,76733,1426473,0.059
2001,Greater Accra,Cassava,16456.7,76508,1259080,0.048
2002,Greater Accra,Cassava,16341.3,76966,1257723,0.051
2003,Greater Accra,Cassava,14593.1,81379,1187582,0.053
2004,Greater Accra,Cassava,23247.8,74710,1736848,0.049
2005,Greater Accra,Cassava,21100.9,78348,1653219,0.055
2006,Greater Accra,Cassava,20434.2,77930,1592459,0.034
2007,Greater Accra,Cassava,20864.2,77637,1619836,0.051
2008,Greater Accra,Cassava,16660.9,80442,1340240,0.053
2009,Greater Accra,Cassava,15049.5,87255,1313150,0.043
2010,Greater Accra,Cassava,19415.6,80728,1567387,0.06
2011,Greater Accra,Cassava,17768.7,74603,1325602,0.052
2012,Greater Accra,Cassava,19697.7,79966,1575149,0.056
2013,Greater Accra,Cassava,16417.3,81165,1332511,0.049
2014,Greater Accra,Cassava,22207.9,85108,1890088,0.052
2015,Greater Accra,Cassava,18979.6,83719,1588964,0.043
2016,Greater Accra,Cassava,20649.2,89818,1854678,0.051
2017,Greater Accra,Cassava,21580.1,82564,1781746,0.045
2018,Greater Accra,Cassava,24043.8,88075,2117671,0.046
2019,Greater Accra,Cassava,20206.0,83396,1685108,0.052
2020,Greater Accra,Cassava,19750.6,88216,1742336,0.045
2021,Greater Accra,Cassava,18885.9,83964,1585751,0.052
2022,Greater Accra,Cassava,19671.6,87318,1717698,0.063
2000,Greater Accra,Maize,1564.1,13169,20599,0.252
2001,Greater Accra,Maize,1937.7,13140,25463,0.268
2002,Greater Accra,Maize,1752.3,12399,21727,0.219
2003,Greater Accra,Maize,1273.5,13183,16788,0.254
2004,Greater Accra,Maize,1861.3,12811,23847,0.259
2005,Greater Accra,Maize,2213.8,13170,29156,0.258
2006,Greater Accra,Maize,1883.3,13223,24902,0.243
2007,Greater Accra,Maize,2473.5,13594,33625,0.272
2008,Greater Accra,Maize,2058.5,12547,25829,0.262
2009,Greater Accra,Maize,1797.7,13285,23883,0.205
2010,Greater Accra,Maize,2123.2,14198,30146,0.257
2011,Greater Accra,Maize,2917.5,14317,41769,0.269
2012,Greater Accra,Maize,2474.5,13802,34153,0.246
2013,Greater Accra,Maize,1746.6,13944,24355,0.222
2014,Greater Accra,Maize,1964.1,13155,25839,0.233
2015,Greater Accra,Maize,2349.2,14016,32928,0.293
2016,Greater Accra,Maize,2582.4,13404,34616,0.246
2017,Greater Accra,Maize,2192.3,13041,28590,0.217
2018,Greater Accra,Maize,2476.2,13652,33805,0.302
2019,Greater Accra,Maize,2082.2,13041,27156,0.294
2020,Greater Accra,Maize,1790.5,14609,26159,0.233
2021,Greater Accra,Maize,3105.1,14096,43769,0.229
2022,Greater Accra,Maize,2974.0,14709,43744,0.281
2000,Northern,Maize,1676.8,36969,61989,0.25
2001,Northern,Maize,2216.6,37418,82940,0.278
2002,Northern,Maize,1957.4,36856,72144,0.244
2003,Northern,Maize,1561.0,38586,60232,0.264
2004,Northern,Maize,1211.6,37418,45337,0.306
2005,Northern,Maize,1626.1,39575,64352,0.284
2006,Northern,Maize,1777.8,42247,75108,0.296
2007,Northern,Maize,1507.9,37762,56942,0.234
2008,Northern,Maize,2107.9,40242,84829,0.246
2009,Northern,Maize,2311.1,39641,91617,0.239
2010,Northern,Maize,1822.3,38342,69871,0.164
2011,Northern,Maize,2126.3,39743,84505,0.164
2012,Northern,Maize,1753.6,39592,69429,0.264
2013,Northern,Maize,2038.4,39827,81185,0.261
2014,Northern,Maize,2182.3,40742,88912,0.244
2015,Northern,Maize,2222.1,40748,90546,0.225
2016,Northern,Maize,1556.5,43559,67799,0.242
2017,Northern,Maize,2042.1,41447,84639,0.253
2018,Northern,Maize,1753.7,42786,75032,0.242
2019,Northern,Maize,2345.2,41984,98462,0.271
2020,Northern,Maize,2311.1,39653,91642,0.234
2021,Northern,Maize,1618.9,43099,69774,0.21
2022,Northern,Maize,2170.5,39954,86720,0.285
2000,Northern,Rice,2592.1,20105,52113,0.461
2001,Northern,Rice,3334.2,20636,68808,0.458
2002,Northern,Rice,2249.5,21058,47370,0.392
2003,Northern,Rice,1642.4,20717,34026,0.559
2004,Northern,Rice,3253.5,22904,74519,0.451
2005,Northern,Rice,2243.1,20760,46568,0.447
2006,Northern,Rice,2347.7,20737,48685,0.424
2007,Northern,Rice,2277.2,20304,46236,0.455
2008,Northern,Rice,2370.3,20310,48141,0.498
2009,Northern,Rice,2997.3,20904,62657,0.45
2010,Northern,Rice,2751.1,22772,62649,0.456
2011,Northern,Rice,2576.3,22222,57253,0.524
2012,Northern,Rice,2828.6,23090,65312,0.454
2013,Northern,Rice,3810.3,22946,87430,0.485
2014,Northern,Rice,3193.2,21897,69922,0.398
2015,Northern,Rice,3512.2,21725,76304,0.461
2016,Northern,Rice,2726.5,23614,64384,0.446
2017,Northern,Rice,2146.0,23499,50430,0.527
2018,Northern,Rice,3483.7,23468,81755,0.514
2019,Northern,Rice,4400.4,22083,97174,0.482
2020,Northern,Rice,2983.5,23951,71458,0.396
2021,Northern,Rice,4033.9,22823,92066,0.521
2022,Northern,Rice,4225.6,23045,97381,0.396
2000,Northern,Yam,10337.4,86906,898392,0.115
2001,Northern,Yam,12731.1,81060,1031986,0.131
2002,Northern,Yam,15034.2,92126,1385058,0.114
2003,Northern,Yam,13532.4,89537,1211658,0.125
2004,Northern,Yam,12600.9,87869,1107235,0.123
2005,Northern,Yam,13795.4,91779,1266127,0.113
2006,Northern,Yam,14669.0,90821,1332263,0.148
2007,Northern,Yam,16405.7,86195,1414089,0.13
2008,Northern,Yam,14657.7,92693,1358676,0.117
2009,Northern,Yam,11834.0,92221,1091347,0.095
2010,Northern,Yam,8054.7,84507,680682,0.132
2011,Northern,Yam,8800.3,89263,785542,0.117
2012,Northern,Yam,13253.7,94811,1256600,0.116
2013,Northern,Yam,15230.5,91600,1395115,0.129
2014,Northern,Yam,15436.6,95176,1469209,0.146
2015,Northern,Yam,12938.0,93286,1206939,0.097
2016,Northern,Yam,17421.2,98100,1709032,0.145
2017,Northern,Yam,13952.0,92924,1296486,0.121
2018,Northern,Yam,6820.0,95888,653961,0.137
2019,Northern,Yam,17690.4,100165,1771958,0.124
2020,Northern,Yam,15063.0,97185,1463907,0.134
2021,Northern,Yam,12833.1,94544,1213295,0.141
2022,Northern,Yam,15228.6,96915,1475885,0.134
2000,Upper East,Rice,3375.6,78249,264139,0.454
2001,Upper East,Rice,2221.1,75594,167902,0.32
2002,Upper East,Rice,2685.0,78430,210585,0.452
2003,Upper East,Rice,3492.0,76813,268228,0.44
2004,Upper East,Rice,2656.2,77401,205590,0.427
2005,Upper East,Rice,1291.5,77224,99732,0.338
2006,Upper East,Rice,2397.2,80584,193177,0.454
2007,Upper East,Rice,2549.9,81950,208965,0.419
2008,Upper East,Rice,2004.2,79383,159100,0.441
2009,Upper East,Rice,3604.6,76719,276544,0.465
2010,Upper East,Rice,3680.8,79858,293946,0.553
2011,Upper East,Rice,1499.1,78960,118368,0.415
2012,Upper East,Rice,2329.7,75738,176446,0.464
2013,Upper East,Rice,3265.7,83734,273453,0.421
2014,Upper East,Rice,1777.4,81759,145317,0.537
2015,Upper East,Rice,3911.3,79163,309632,0.331
2016,Upper East,Rice,3248.2,79072,256845,0.443
2017,Upper East,Rice,3607.4,84009,303054,0.441
2018,Upper East,Rice,2570.7,87122,223962,0.445
2019,Upper East,Rice,3181.0,83841,266700,0.491
2020,Upper East,Rice,2367.7,84692,200525,0.388
2021,Upper East,Rice,3802.0,78814,299655,0.415
2022,Upper East,Rice,3181.6,84635,269276,0.459
2000,Upper East,Maize,1188.9,48235,57345,0.263
2001,Upper East,Maize,2157.5,45282,97696,0.222
2002,Upper East,Maize,1138.9,49485,56357,0.242
