farmer_id,region,primary_crop,farm_size_ha,years_experience,household_size,mobile_money,market_access,irrigation,education_level,prev_loan,has_secondary_crop,yield_stability,income_est_usd,loan_amount_usd,repay_probability,loan_repaid
GH00031,Brong-Ahafo,Rice,1.25,35,5,1,0,0,2,0,1,0.814,821,527,0.5164,1
GH00032,Brong-Ahafo,Maize,0.89,20,7,1,1,1,2,0,1,0.677,261,136,0.8101,1
GH00033,Volta,Yam,1.32,15,7,1,1,0,3,0,1,0.653,1105,1637,0.6465,1
GH00034,Brong-Ahafo,Rice,1.7,9,5,1,0,0,0,0,1,0.696,1359,1820,0.4882,1
GH00035,Brong-Ahafo,Maize,1.39,2,4,1,1,0,2,1,0,0.766,435,320,0.6423,1
GH00036,Ashanti,Cassava,1.57,26,5,0,1,0,1,1,0,0.795,777,1067,0.6217,0
GH00037,Volta,Maize,2.3,25,8,0,1,0,1,0,1,0.672,246,272,0.7858,1
GH00038,Upper West,Maize,1.62,21,6,0,0,0,3,0,0,0.629,329,271,0.2193,0
GH00039,Northern,Maize,1.74,31,4,0,0,1,0,0,1,0.645,274,369,0.6268,0
GH00040,Upper West,Maize,0.55,6,8,1,0,0,0,1,0,0.489,155,172,0.2644,1
GH00041,Brong-Ahafo,Yam,2.4,4,3,0,1,0,2,0,1,0.758,2417,3122,0.7835,1
GH00042,Eastern,Cassava,1.71,33,7,1,1,0,1,1,1,0.711,835,669,0.8712,1
GH00043,Central,Plantain,5.62,18,5,0,1,0,2,1,0,0.944,2478,3118,0.5891,0
GH00044,Ashanti,Plantain,0.94,6,7,1,1,0,2,0,1,0.923,495,366,0.7849,1
GH00045,Greater Accra,Maize,0.51,12,10,1,1,0,1,1,0,0.792,101,119,0.6405,0
GH00046,Western,Plantain,2.81,39,8,0,1,0,1,0,0,0.935,1687,1388,0.733,1
GH00047,Ashanti,Maize,2.32,5,5,0,0,1,0,0,0,0.705,653,513,0.255,1
GH00048,Central,Maize,0.9,40,4,0,1,0,1,0,0,0.779,203,255,0.8138,1
GH00049,Brong-Ahafo,Cassava,0.62,20,8,1,1,0,1,1,1,0.733,298,134,0.5358,0
GH00050,Brong-Ahafo,Maize,5.35,40,6,1,1,0,3,0,0,0.728,1446,2044,0.7224,1
GH00051,Volta,Maize,4.9,24,3,1,0,0,2,0,1,0.735,984,896,0.544,0
GH00052,Greater Accra,Maize,0.32,18,7,1,1,0,0,0,0,0.815,101,107,0.7175,1
GH00053,Greater Accra,Cassava,1.32,14,5,1,1,0,3,0,1,0.858,827,650,0.7472,1
GH00054,Upper West,Maize,5.84,28,2,1,0,1,0,1,1,0.6,1659,1784,0.7595,0
GH00055,Brong-Ahafo,Maize,1.31,2,9,1,0,0,2,1,0,0.83,432,498,0.4878,0
GH00056,Greater Accra,Maize,1.29,3,6,1,1,0,0,0,0,0.654,548,736,0.3746,0
GH00057,Eastern,Maize,1.49,19,4,0,1,0,0,0,0,0.919,258,342,0.5718,1
GH00058,Northern,Maize,0.83,37,7,0,1,0,2,0,1,0.587,233,170,0.4529,0
GH00059,Western,Cassava,0.55,34,9,1,0,0,1,0,1,0.834,211,219,0.4122,0
GH00060,Upper West,Rice,3.81,37,2,1,1,0,2,1,0,0.716,4049,5007,0.876,1
GH00061,Eastern,Cassava,0.5,3,7,1,1,0,1,0,1,0.864,275,335,0.527,0
GH00062,Volta,Yam,2.17,5,8,1,0,0,0,1,0,0.793,1882,2577,0.7468,0
GH00063,Brong-Ahafo,Rice,3.39,17,4,0,0,0,2,0,0,0.85,2603,3380,0.69,0
GH00064,Ashanti,Cocoa,0.66,5,6,0,0,0,2,0,0,0.822,590,685,0.5255,1
GH00065,Brong-Ahafo,Maize,0.95,10,3,0,0,0,0,0,0,0.804,287,344,0.2343,0
GH00066,Central,Maize,4.26,22,7,1,1,0,1,0,0,0.689,1319,1674,0.894,1
GH00067,Northern,Yam,2.65,24,8,0,0,0,2,0,1,0.668,3466,4525,0.1811,0
GH00068,Northern,Yam,1.18,3,3,1,0,0,2,0,0,0.68,1416,1024,0.329,1
GH00069,Volta,Yam,4.23,4,8,1,0,1,2,0,1,0.842,5222,6466,0.7911,1
GH00070,Northern,Yam,4.24,24,8,1,1,0,2,0,1,0.692,4166,5995,0.8247,0
GH00071,Northern,Rice,2.2,27,5,0,0,0,3,0,1,0.651,979,567,0.417,1
GH00072,Ashanti,Plantain,0.97,8,7,1,1,0,1,0,0,0.8,499,179,0.528,1
GH00073,Ashanti,Cocoa,1.36,37,2,1,1,0,2,0,0,0.809,832,322,0.7751,0
GH00074,Northern,Maize,2.23,34,10,0,0,0,2,1,1,0.589,716,401,0.5656,1
GH00075,Eastern,Cassava,1.6,37,6,1,1,0,2,0,0,0.711,543,762,0.7044,0
GH00076,Volta,Cassava,3.52,5,7,1,0,0,1,0,0,0.919,2154,974,0.7568,1
GH00077,Brong-Ahafo,Yam,0.62,24,7,1,0,0,2,0,0,0.83,649,777,0.4868,1
GH00078,Ashanti,Cassava,0.64,26,6,1,1,0,2,0,1,0.835,360,483,0.904,1
GH00079,Eastern,Maize,2.07,27,9,0,1,1,2,0,0,0.83,646,874,0.7674,0
GH00080,Brong-Ahafo,Rice,1.29,29,6,1,1,0,1,0,0,0.81,1039,831,0.8305,1
GH00081,Ashanti,Cassava,1.17,29,9,1,0,0,2,1,0,0.736,573,512,0.4601,1
GH00082,Upper East,Yam,0.53,22,6,1,0,0,3,0,1,0.636,656,451,0.724,0
GH00083,Ashanti,Plantain,1.85,11,4,0,1,0,3,0,1,0.927,1043,497,0.818,1
GH00084,Northern,Yam,1.76,28,9,1,0,0,2,0,1,0.581,2018,1119,0.4769,0
GH00085,Central,Plantain,2.88,16,7,0,0,0,2,0,1,0.727,1428,659,0.6342,1
GH00086,Brong-Ahafo,Cassava,1.91,18,7,1,0,0,0,0,1,0.687,1025,809,0.3413,0
GH00087,Eastern,Maize,1.66,40,12,1,1,0,1,1,1,0.757,459,232,0.8042,1
GH00088,Upper West,Yam,4.15,36,3,0,0,0,0,0,0,0.512,2724,2136,0.5752,0
GH00089,Eastern,Maize,0.73,6,5,1,0,0,2,1,1,0.751,147,194,0.6512,1
GH00090,Upper West,Maize,2.65,17,4,1,0,0,1,0,1,0.538,717,778,0.4867,0
GH00091,Brong-Ahafo,Rice,0.57,24,7,1,1,0,2,0,1,0.75,288,315,0.881,1
GH00092,Upper West,Maize,1.01,40,8,1,0,0,2,1,1,0.549,274,349,0.4216,0
GH00093,Brong-Ahafo,Rice,0.78,10,11,1,1,0,3,1,0,0.747,519,181,0.7104,1
GH00094,Upper East,Rice,3.15,34,5,0,0,0,2,0,1,0.633,2513,3150,0.5132,0
GH00095,Northern,Maize,1.74,36,8,0,0,0,2,0,0,0.538,499,267,0.2989,0
GH00096,Western,Cocoa,1.8,41,9,1,0,0,2,0,1,0.883,798,571,0.8703,1
GH00097,Eastern,Cocoa,0.84,25,7,1,1,0,1,0,0,0.767,631,423,0.5739,1
GH00098,Ashanti,Plantain,1.48,25,4,0,0,0,0,1,1,0.825,679,290,0.4956,1
GH00099,Ashanti,Maize,1.07,25,6,1,1,0,0,0,1,0.758,159,100,0.398,0
GH00100,Volta,Cassava,2.38,20,11,1,1,0,1,0,0,0.808,1134,1642,0.8002,1
GH00101,Northern,Yam,0.91,40,12,0,0,0,3,0,1,0.65,987,1007,0.4729,1
GH00102,Upper West,Maize,4.62,26,7,0,0,1,0,0,1,0.689,1178,1023,0.5123,1
GH00103,Brong-Ahafo,Rice,0.56,32,9,0,1,1,2,0,0,0.748,411,497,0.6721,1
GH00104,Central,Maize,1.04,39,4,0,1,0,1,0,1,0.74,297,379,0.8447,1
GH00105,Ashanti,Maize,5.89,26,4,0,1,0,3,0,0,0.839,1478,639,0.8701,0
GH00106,Western,Cocoa,1.34,28,10,1,0,0,1,0,1,0.886,895,1064,0.4168,1
GH00107,Upper East,Yam,0.73,33,3,0,0,1,1,0,1,0.656,541,768,0.5202,0
GH00108,Western,Cassava,2.12,12,4,1,0,0,1,1,1,0.83,998,1001,0.5655,0
GH00109,Brong-Ahafo,Yam,1.31,6,5,1,1,1,2,0,1,0.645,1818,1885,0.7428,0
GH00110,Northern,Rice,1.02,34,6,1,0,0,1,0,1,0.815,856,1151,0.644,0
GH00111,Upper East,Maize,0.85,20,6,0,0,0,2,1,1,0.517,249,278,0.2593,0
GH00112,Central,Maize,12.65,17,5,1,0,0,2,1,0,0.697,3059,4571,0.7849,1
GH00113,Volta,Cassava,1.53,36,10,0,0,0,1,0,0,0.837,740,473,0.4174,0
GH00114,Western,Cocoa,0.47,12,9,0,0,1,0,0,0,0.784,316,415,0.5633,0
GH00115,Volta,Maize,5.18,12,5,1,0,0,2,0,1,0.699,1689,1748,0.6323,1
GH00116,Upper East,Maize,2.79,11,5,0,0,0,1,0,1,0.575,960,709,0.1774,0
GH00117,Brong-Ahafo,Rice,1.07,35,7,0,1,0,3,0,1,0.739,788,1071,0.7913,1
GH00118,Central,Maize,0.95,6,7,0,0,0,0,0,1,0.761,262,392,0.2352,0
GH00119,Western,Cocoa,2.92,24,5,1,0,0,2,0,0,0.987,1964,726,0.5036,1
GH00120,Ashanti,Plantain,1.53,26,5,0,1,0,2,1,0,0.816,889,1254,0.6927,0
GH00121,Upper East,Yam,0.47,30,5,0,0,0,2,0,1,0.513,518,282,0.4006,1
GH00122,Upper East,Yam,6.37,41,4,1,0,0,1,1,1,0.663,6305,3444,0.5398,1
GH00123,Northern,Rice,1.34,14,5,1,0,0,3,1,0,0.577,1305,457,0.5632,0
GH00124,Western,Cassava,5.19,33,7,1,0,0,2,1,1,0.831,3007,4230,0.804,1
GH00125,Central,Plantain,4.46,35,7,0,0,0,2,0,0,0.778,1901,2303,0.5327,0
GH00126,Central,Cassava,0.9,13,8,1,1,1,2,0,0,0.857,473,172,0.5557,1
GH00127,Ashanti,Maize,3.76,25,5,1,1,0,2,0,1,0.768,1007,1068,0.8181,0
GH00128,Eastern,Maize,1.15,41,8,0,1,0,3,0,1,0.763,256,114,0.815,0
GH00129,Brong-Ahafo,Rice,0.49,22,2,1,1,0,3,0,0,0.762,379,455,0.5654,1
GH00130,Central,Maize,1.35,30,6,0,1,0,1,1,0,0.855,460,364,0.5906,0
GH00131,Volta,Yam,2.41,24,8,1,0,0,1,0,1,0.806,2961,1072,0.74,1
GH00132,Western,Cassava,1.32,34,7,1,0,0,3,0,1,0.757,820,1062,0.8683,1
GH00133,Brong-Ahafo,Yam,1.47,9,6,1,1,0,1,1,0,0.696,1713,1691,0.6877,1
GH00134,Eastern,Cocoa,4.06,14,7,0,1,0,3,0,1,0.909,2984,3663,0.6631,1
GH00135,Western,Cassava,1.96,6,9,0,0,0,2,0,1,0.777,905,1004,0.4873,0
GH00136,Ashanti,Cassava,1.01,11,6,0,0,0,0,0,1,0.854,590,485,0.6558,1
GH00137,Ashanti,Cassava,2.98,15,8,0,0,0,1,0,1,0.882,1049,1194,0.3897,1
GH00138,Brong-Ahafo,Yam,2.09,25,12,1,1,0,1,0,1,0.619,1824,579,0.6353,0
GH00139,Northern,Rice,0.31,12,7,1,1,0,2,0,1,0.602,307,217,0.5829,1
GH00140,Brong-Ahafo,Cassava,2.46,4,6,1,1,0,1,0,1,0.845,1164,1436,0.517,1
GH00141,Western,Plantain,2.4,30,2,1,0,0,1,1,1,0.838,1364,1658,0.8647,1
GH00142,Eastern,Cassava,1.85,31,5,0,0,0,3,0,0,0.783,901,1230,0.58,1
GH00143,Northern,Yam,3.4,38,6,1,1,0,0,1,0,0.701,3804,3931,0.517,1
GH00144,Brong-Ahafo,Rice,1.14,8,8,0,0,0,2,0,1,0.838,639,914,0.4667,0
GH00145,Greater Accra,Cassava,2.31,18,5,0,1,0,2,1,0,0.811,1521,1474,0.8735,1
GH00146,Upper East,Maize,0.61,21,11,1,0,0,0,0,1,0.706,131,118,0.5363,1
GH00147,Upper West,Rice,2.42,12,4,0,1,0,0,1,0,0.467,1426,765,0.7278,1
GH00148,Upper West,Rice,7.15,26,7,1,1,0,1,0,1,0.489,7202,8892,0.6392,1
GH00149,Northern,Yam,0.91,25,5,0,1,0,0,0,1,0.599,917,1037,0.6962,1
GH00150,Volta,Maize,1.07,3,6,1,1,0,1,0,0,0.703,279,238,0.7618,0
GH00151,Upper West,Yam,1.11,28,8,1,0,0,2,0,0,0.587,1470,595,0.4866,1
GH00152,Upper West,Rice,2.0,20,5,1,1,0,2,0,1,0.567,1857,837,0.6442,0
GH00153,Ashanti,Maize,0.87,30,3,0,1,0,2,1,0,0.707,220,100,0.8364,1
GH00154,Ashanti,Cocoa,2.45,38,6,0,1,0,1,0,0,0.817,1682,1263,0.7414,1
GH00155,Brong-Ahafo,Rice,3.3,12,6,1,1,0,0,1,0,0.703,3247,1594,0.8172,0
GH00156,Upper East,Yam,2.65,20,8,0,0,1,1,1,1,0.64,2156,2874,0.6671,0
GH00157,Eastern,Cocoa,0.53,29,11,1,0,0,1,1,0,0.837,482,665,0.6525,0
GH00158,Eastern,Maize,3.66,40,3,0,1,0,3,0,1,0.747,926,1230,0.7788,1
GH00159,Volta,Cassava,3.51,22,6,1,0,0,1,0,0,0.774,1522,1569,0.5214,1
GH00160,Volta,Cassava,3.26,27,7,1,0,0,1,0,1,0.869,2084,2117,0.732,1
GH00161,Volta,Maize,2.37,23,12,0,1,0,2,0,1,0.691,754,1032,0.5989,1
GH00162,Central,Plantain,2.13,7,10,1,0,0,2,0,1,0.748,692,545,0.6095,1
GH00163,Upper East,Yam,3.75,12,7,1,0,0,3,0,1,0.507,3699,1386,0.411,0
GH00164,Brong-Ahafo,Maize,7.0,15,6,1,1,0,1,0,1,0.711,1513,1308,0.6519,1
GH00165,Brong-Ahafo,Yam,0.94,37,4,1,0,0,0,0,1,0.789,1099,1060,0.7478,1
GH00166,Brong-Ahafo,Yam,3.88,41,5,1,1,0,1,0,0,0.82,5256,5042,0.8278,1
GH00167,Central,Plantain,1.72,3,6,0,1,1,0,0,0,0.982,960,471,0.5834,1
GH00168,Eastern,Plantain,1.66,21,7,1,1,0,2,0,1,0.884,710,880,0.8977,1
GH00169,Volta,Yam,0.62,23,7,1,0,1,3,0,0,0.679,736,867,0.5413,1
GH00170,Ashanti,Plantain,1.49,40,7,1,1,0,2,0,0,0.809,743,428,0.8252,1
GH00171,Upper East,Yam,0.91,5,5,0,0,0,0,1,1,0.412,904,869,0.4233,1
GH00172,Northern,Maize,1.32,30,7,0,0,0,0,1,0,0.59,331,413,0.4557,1
GH00173,Central,Plantain,0.84,25,3,0,1,0,3,1,0,0.802,432,134,0.8676,1
GH00174,Greater Accra,Maize,1.33,2,4,1,1,0,2,0,1,0.63,364,229,0.8575,1
GH00175,Central,Cassava,1.37,25,4,1,0,0,3,0,1,1.0,373,323,0.6133,1
GH00176,Northern,Rice,1.95,31,9,0,0,0,2,1,1,0.605,1588,2087,0.2558,0
GH00177,Eastern,Plantain,0.59,13,3,0,1,0,3,1,0,0.656,289,364,0.5988,1
GH00178,Brong-Ahafo,Maize,0.66,20,8,1,0,0,3,1,1,0.708,196,100,0.5803,0
GH00179,Ashanti,Maize,2.35,38,4,1,1,0,1,0,0,0.897,390,334,0.7528,0
GH00180,Northern,Rice,1.04,41,6,1,0,0,2,0,1,0.788,929,618,0.8736,1
GH00181,Volta,Maize,3.87,5,9,1,1,0,1,1,0,0.735,1080,844,0.9239,1
GH00182,Central,Maize,2.13,16,6,0,1,0,1,0,0,0.798,650,617,0.439,0
GH00183,Upper East,Maize,2.79,21,4,1,1,0,1,0,0,0.663,522,469,0.6775,0
GH00184,Upper East,Rice,4.89,21,4,1,1,0,1,0,0,0.573,2983,1402,0.6694,1
GH00185,Western,Plantain,1.47,22,10,1,0,0,0,0,1,0.887,463,207,0.6704,1
GH00186,Volta,Maize,1.22,11,5,1,0,1,0,0,0,0.797,348,159,0.3872,0
GH00187,Northern,Yam,3.35,31,6,1,1,0,2,0,0,0.549,3144,4117,0.8191,1
GH00188,Upper East,Yam,2.6,25,5,1,1,0,3,0,0,0.708,2545,824,0.8084,1
GH00189,Volta,Cassava,1.6,41,5,0,1,0,2,0,0,0.71,606,329,0.6046,1
GH00190,Eastern,Plantain,4.83,41,4,1,0,0,1,0,1,0.774,1845,2670,0.8607,1
GH00191,Central,Cassava,1.57,39,7,1,1,0,1,0,0,0.848,413,157,0.5942,0
GH00192,Ashanti,Plantain,1.86,4,7,1,1,0,1,1,1,0.9,685,235,0.587,0
GH00193,Volta,Yam,1.85,30,4,1,0,0,2,0,1,0.804,1622,1240,0.7358,0
GH00194,Upper West,Yam,0.95,9,8,1,0,0,2,0,1,0.606,843,406,0.5558,1
GH00195,Ashanti,Cocoa,1.92,30,9,1,1,0,1,0,1,0.858,1336,1308,0.7744,1
GH00196,Northern,Maize,4.84,11,10,0,1,0,2,0,0,0.701,1548,1093,0.6698,1
GH00197,Greater Accra,Maize,2.49,6,4,1,1,0,2,0,0,0.816,596,328,0.6143,0
GH00198,Ashanti,Maize,1.86,12,5,0,1,0,0,0,0,0.7,567,850,0.6788,1
GH00199,Western,Cocoa,1.63,5,9,1,1,0,1,0,0,0.812,1329,943,0.7338,0
GH00200,Brong-Ahafo,Maize,2.3,36,4,1,1,0,2,0,0,0.803,785,839,0.9174,1
GH00201,Ashanti,Cassava,3.08,41,2,0,0,0,2,0,0,0.75,1775,2394,0.326,0
GH00202,Northern,Yam,2.79,13,9,1,1,0,0,0,0,0.51,2854,4015,0.4508,0
GH00203,Upper East,Maize,1.44,22,5,1,0,0,1,1,1,0.541,313,248,0.4884,0
GH00204,Ashanti,Plantain,2.29,17,5,0,1,0,2,0,1,0.819,1217,1791,0.7759,1
GH00205,Upper East,Yam,2.55,15,5,1,0,0,1,1,0,0.654,2377,2780,0.7678,1
GH00206,Northern,Maize,0.9,22,8,1,1,0,2,1,0,0.498,319,319,0.6385,1
GH00207,Ashanti,Plantain,2.05,28,5,1,1,0,0,1,0,0.853,1052,1191,0.8537,1
GH00208,Brong-Ahafo,Rice,0.4,37,9,0,0,0,1,1,0,0.842,314,230,0.7699,1
GH00209,Northern,Rice,2.55,2,6,0,0,0,1,0,0,0.57,2650,2145,0.3179,0
GH00210,Central,Maize,2.89,2,6,1,0,0,3,0,1,0.797,725,728,0.7156,1
GH00211,Western,Cocoa,3.07,23,5,1,1,0,2,1,0,0.688,2165,1499,0.548,0
GH00212,Upper West,Rice,1.38,16,4,1,0,0,3,0,0,0.68,1567,1916,0.74,1
GH00213,Western,Plantain,2.26,21,7,1,1,0,1,0,1,0.914,1200,722,0.7598,1
GH00214,Brong-Ahafo,Cassava,4.94,4,5,0,0,0,2,0,0,0.778,3177,3991,0.7802,1
GH00215,Western,Cassava,4.9,15,9,1,0,0,2,0,0,0.734,3346,1615,0.4375,1
GH00216,Eastern,Cocoa,1.79,10,6,1,0,0,1,0,1,0.888,1124,630,0.6835,1
GH00217,Central,Cassava,2.01,20,6,0,1,0,3,0,1,0.82,1247,1501,0.8042,0
GH00218,Ashanti,Maize,3.97,41,5,0,1,0,2,1,0,0.543,1028,633,0.3875,1
GH00219,Ashanti,Cocoa,0.64,35,8,0,0,0,3,0,1,0.897,636,798,0.8334,1
GH00220,Upper East,Rice,1.45,5,5,0,0,0,3,0,1,0.678,1514,1878,0.5257,0
GH00221,Eastern,Plantain,4.64,34,4,0,0,0,2,0,1,0.932,2686,1635,0.4606,1
GH00222,Brong-Ahafo,Maize,3.61,38,9,1,0,0,3,0,0,0.628,1211,470,0.6802,1
GH00223,Northern,Maize,2.36,3,6,1,0,0,1,0,0,0.462,564,282,0.4109,0
GH00224,Brong-Ahafo,Yam,0.64,28,6,1,1,0,2,0,1,0.717,867,1043,0.7579,1
GH00225,Northern,Yam,1.76,18,6,1,1,0,1,1,0,0.676,1453,1913,0.6378,0
GH00226,Central,Cassava,1.21,32,7,0,1,0,2,1,0,0.765,687,522,0.7243,1
GH00227,Volta,Yam,2.3,7,5,1,1,1,2,0,0,0.623,1987,988,0.8089,1
GH00228,Volta,Maize,1.03,32,2,1,0,0,2,1,1,0.788,335,131,0.8577,0
GH00229,Greater Accra,Cassava,0.89,4,8,1,1,0,2,0,0,0.837,630,352,0.6639,0
GH00230,Central,Cassava,0.43,41,3,1,1,0,1,0,1,0.89,246,363,0.8621,1
GH00231,Eastern,Plantain,4.29,4,7,0,1,1,2,1,1,0.826,2298,1159,0.786,1
GH00232,Upper West,Yam,1.38,34,3,0,1,0,0,0,1,0.597,1359,548,0.4684,0
GH00233,Central,Plantain,2.03,14,5,1,1,0,0,0,1,0.845,1044,1297,0.7375,1
GH00234,Brong-Ahafo,Maize,1.82,22,3,1,1,0,2,0,1,0.701,471,489,0.6865,1
GH00235,Ashanti,Cassava,0.86,38,6,0,0,0,2,0,0,0.778,599,564,0.3825,1
GH00236,Greater Accra,Maize,0.75,17,7,0,1,1,1,0,1,0.727,241,202,0.3652,1
GH00237,Greater Accra,Maize,0.9,22,4,1,1,0,1,0,0,0.854,232,265,0.6864,0
GH00238,Volta,Cassava,1.1,14,5,0,1,0,1,0,0,0.88,584,665,0.6864,1
GH00239,Brong-Ahafo,Cassava,2.36,5,10,0,0,0,2,0,1,0.74,1962,1588,0.6061,1
GH00240,Eastern,Cassava,1.04,32,5,0,0,0,2,0,0,0.964,576,335,0.6309,1
GH00241,Upper West,Yam,6.19,10,8,0,1,1,0,1,1,0.64,8053,10000,0.5396,1
GH00242,Volta,Cassava,3.74,34,10,0,0,0,2,1,0,0.801,1737,864,0.5875,0
GH00243,Eastern,Maize,3.21,38,11,1,0,0,1,0,1,0.817,975,917,0.5327,0
GH00244,Eastern,Plantain,1.68,38,9,0,1,0,2,0,0,0.903,741,838,0.8771,1
GH00245,Central,Cassava,5.26,25,5,0,1,0,0,0,1,0.804,2466,2630,0.6488,0
GH00246,Western,Cocoa,1.56,26,11,0,1,0,3,0,1,0.904,1275,1329,0.6625,1
GH00247,Ashanti,Cassava,1.78,30,8,0,1,0,0,0,1,0.899,767,840,0.7952,1
GH00248,Western,Cassava,2.05,41,8,1,0,0,2,0,0,0.81,820,1108,0.6694,0
GH00249,Upper East,Yam,2.98,37,2,1,1,0,2,1,0,0.585,3416,2523,0.8815,1
GH00250,Northern,Rice,2.85,16,10,1,0,0,0,0,0,0.574,2083,2193,0.2547,0
GH00251,Ashanti,Plantain,1.31,19,8,0,1,0,0,0,0,0.786,623,708,0.5508,1
GH00252,Greater Accra,Cassava,1.25,21,8,1,1,0,1,0,0,0.837,420,424,0.7684,1
GH00253,Eastern,Cassava,2.85,6,3,1,0,0,2,1,0,0.743,1116,1544,0.2677,0
GH00254,Brong-Ahafo,Maize,3.01,19,4,1,1,0,0,0,1,0.725,872,947,0.6481,1
GH00255,Upper East,Yam,1.38,41,11,1,1,0,2,1,0,0.611,1326,1073,0.6874,1
GH00256,Western,Cocoa,0.6,2,6,0,0,0,2,0,1,0.894,500,657,0.4897,1
GH00257,Northern,Yam,1.58,20,5,0,1,1,1,1,1,0.57,1306,1159,0.7039,1
GH00258,Upper East,Rice,2.82,24,8,0,1,0,0,0,0,0.536,2208,2067,0.4947,1
GH00259,Ashanti,Cassava,6.45,27,3,1,1,0,3,0,1,0.883,3418,3414,0.8474,1
GH00260,Eastern,Cocoa,0.79,30,5,0,1,0,1,1,1,0.786,535,368,0.8696,1
GH00261,Ashanti,Cassava,1.35,35,5,1,1,0,0,0,1,0.881,793,925,0.9371,1
GH00262,Northern,Yam,1.39,20,5,1,1,0,2,0,0,0.576,1097,458,0.4137,0
GH00263,Western,Plantain,4.71,19,5,0,1,0,1,1,0,0.88,2617,3514,0.7354,1
GH00264,Upper East,Rice,1.78,3,4,0,0,0,1,0,0,0.645,1770,2134,0.4437,1
GH00265,Ashanti,Maize,0.97,28,4,0,1,0,0,0,0,0.553,225,163,0.427,0
GH00266,Central,Maize,2.69,7,7,1,0,0,3,0,1,0.859,806,461,0.6897,1
GH00267,Northern,Maize,1.37,40,9,1,1,0,1,0,1,0.719,407,312,0.72,1
GH00268,Eastern,Cassava,0.77,7,6,1,0,0,3,0,1,0.79,452,572,0.4677,0
GH00269,Volta,Maize,0.98,7,5,1,0,0,1,0,1,0.758,272,100,0.4073,1
GH00270,Upper West,Yam,6.13,32,4,1,1,0,1,0,1,0.543,7932,6833,0.4106,0
GH00271,Northern,Rice,2.38,41,8,1,0,0,3,0,1,0.664,2741,1658,0.7093,0
